Unnamed: 0,_id,helpfulness_cat
0,610d01fe9a63eb113d2235ac,1.0
1,610d01fe9a63eb113d224536,1.0
2,610d01fe9a63eb113d224d14,1.0
3,610d01fe9a63eb113d225f17,1.0
4,610d01fe9a63eb113d225f1a,1.0
5,610d01fe9a63eb113d22768c,1.0
6,610d01fe9a63eb113d22a437,1.0
7,610d01fe9a63eb113d22a9c2,1.0
8,610d01fe9a63eb113d22b8c1,1.0
9,610d01fe9a63eb113d22b8c5,1.0
10,610d01fe9a63eb113d22c179,1.0
11,610d01fe9a63eb113d22e560,1.0
12,610d01fe9a63eb113d22e561,1.0
13,610d01fe9a63eb113d22e569,0.0
14,610d01fe9a63eb113d235c27,1.0
15,610d01fe9a63eb113d235c3b,1.0
16,610d01ff9a63eb113d236e4b,1.0
17,610d01ff9a63eb113d237746,1.0
18,610d01ff9a63eb113d2377d7,1.0
19,610d01ff9a63eb113d238263,1.0
20,610d01ff9a63eb113d2384ac,1.0
21,610d01ff9a63eb113d238550,1.0
22,610d01ff9a63eb113d23907b,1.0
23,610d01ff9a63eb113d2396cd,1.0
24,610d01ff9a63eb113d23b55f,1.0
25,610d01ff9a63eb113d23cba6,1.0
26,610d01ff9a63eb113d23cbac,1.0
27,610d01ff9a63eb113d23cdd2,1.0
28,610d01ff9a63eb113d23d9d8,1.0
29,610d01ff9a63eb113d23f2a0,1.0
30,610d01ff9a63eb113d23fcc3,1.0
31,610d01ff9a63eb113d241172,1.0
32,610d01ff9a63eb113d241179,1.0
33,610d01ff9a63eb113d2412a5,1.0
34,610d01ff9a63eb113d2416af,1.0
35,610d01ff9a63eb113d242403,1.0
36,610d01ff9a63eb113d242f4e,1.0
37,610d01ff9a63eb113d2430dc,1.0
38,610d01ff9a63eb113d245569,1.0
39,610d01ff9a63eb113d245643,1.0
40,610d01ff9a63eb113d24564a,1.0
41,610d01ff9a63eb113d2464da,1.0
42,610d01ff9a63eb113d246da8,1.0
43,610d01ff9a63eb113d246e72,1.0
44,610d01ff9a63eb113d24732b,1.0
45,610d01ff9a63eb113d2478aa,1.0
46,610d01ff9a63eb113d249b68,1.0
47,610d01ff9a63eb113d24b2f8,1.0
48,610d01ff9a63eb113d24d1a5,1.0
49,610d01ff9a63eb113d24d800,1.0
50,610d01ff9a63eb113d24dbd6,1.0
51,610d01ff9a63eb113d24e1f0,1.0
52,610d01ff9a63eb113d24e1f7,1.0
53,610d01ff9a63eb113d24e948,1.0
54,610d01ff9a63eb113d2501cf,1.0
55,610d01ff9a63eb113d250f94,1.0
56,610d01ff9a63eb113d251373,0.0
57,610d01ff9a63eb113d251888,1.0
58,610d01ff9a63eb113d252956,1.0
59,610d01ff9a63eb113d252b91,1.0
60,610d01ff9a63eb113d25363c,1.0
